,Date,Mean_temp,Max_temp,Min_temp,Mean_dwp,Max_dwp,Min_dwp,Pressure,Humidity,Wind,Clouds,Description
0,2019-01-18 19:25:00,0.35,1,0,-1.0499999999999998,-0.3999999999999999,-1.4,1019,93,3.6,0,Clear
0,2019-01-18 20:25:00,-0.65,0,-1,-2.25,-1.6,-2.6,1019,92,3.6,20,Clouds
0,2019-01-18 21:25:00,-0.96,0,-2,-2.56,-1.6,-3.6,1019,92,2.1,40,Mist
0,2019-01-18 22:25:00,-0.61,0,-2,-0.61,0.0,-2.0,1019,100,4.1,75,Mist
0,2019-01-18 23:25:00,-0.32,0,-1,-1.9200000000000002,-1.6,-2.6,1018,92,3.1,75,Fog
0,2019-01-19 00:25:00,-0.66,0,-1,-2.2600000000000002,-1.6,-2.6,1018,92,3.6,90,Fog
0,2019-01-19 01:31:00,-1.34,-1,-2,-2.9400000000000004,-2.6,-3.6,1018,92,4.1,90,Fog
0,2019-01-19 02:25:00,-1.35,-1,-2,-2.95,-2.6,-3.6,1018,92,3.1,75,Mist
0,2019-01-19 03:25:00,-1,-1,-1,-1.0,-1.0,-1.0,1017,100,3.1,75,Mist
0,2019-01-19 04:25:00,-1.35,-1,-2,-2.95,-2.6,-3.6,1017,92,4.1,90,Mist
