,Date,Mean_temp,Max_temp,Min_temp,Mean_dwp,Max_dwp,Min_dwp,Pressure,Humidity,Wind,Clouds,Description,Mean_temp_1,Mean_temp_2,Mean_temp_3,Max_temp_1,Max_temp_2,Max_temp_3,Min_temp_1,Min_temp_2,Min_temp_3,Mean_dwp_1,Mean_dwp_2,Mean_dwp_3,Max_dwp_1,Max_dwp_2,Max_dwp_3,Min_dwp_1,Min_dwp_2,Min_dwp_3,Pressure_1,Pressure_2,Pressure_3,Humidity_1,Humidity_2,Humidity_3,Wind_1,Wind_2,Wind_3,Clouds_1,Clouds_2,Clouds_3
3,2017-01-01,11,11,10,0.1999999999999993,0.1999999999999993,-0.8000000000000007,1027,46,1,20,Clouds,9.0,7.0,6.0,10.0,9.0,7.0,7.0,5.0,4.0,2.0,4.6,3.6,3.0,6.6,4.6,0.0,2.6,1.6,1028.0,1028.0,1028.0,65.0,88.0,88.0,1.0,1.0,2.0,40.0,75.0,75.0
4,2017-01-01,12,12,11,0.5999999999999996,0.5999999999999996,-0.4000000000000004,1026,43,1,20,Clouds,11.0,9.0,7.0,11.0,10.0,9.0,10.0,7.0,5.0,0.1999999999999993,2.0,4.6,0.1999999999999993,3.0,6.6,-0.8000000000000007,0.0,2.6,1027.0,1028.0,1028.0,46.0,65.0,88.0,1.0,1.0,1.0,20.0,40.0,75.0
5,2017-01-01,12,12,12,0.0,0.0,0.0,1026,40,2,20,Clouds,12.0,11.0,9.0,12.0,11.0,10.0,11.0,10.0,7.0,0.5999999999999996,0.1999999999999993,2.0,0.5999999999999996,0.1999999999999993,3.0,-0.4000000000000004,-0.8000000000000007,0.0,1026.0,1027.0,1028.0,43.0,46.0,65.0,1.0,1.0,1.0,20.0,20.0,40.0
6,2017-01-01,12,13,12,-0.5999999999999996,0.4000000000000004,-0.5999999999999996,1025,37,2,20,Clouds,12.0,12.0,11.0,12.0,12.0,11.0,12.0,11.0,10.0,0.0,0.5999999999999996,0.1999999999999993,0.0,0.5999999999999996,0.1999999999999993,0.0,-0.4000000000000004,-0.8000000000000007,1026.0,1026.0,1027.0,40.0,43.0,46.0,2.0,1.0,1.0,20.0,20.0,20.0
7,2017-01-01,12,13,12,6.8,7.8,6.8,1025,74,2,20,Clouds,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,11.0,-0.5999999999999996,0.0,0.5999999999999996,0.4000000000000004,0.0,0.5999999999999996,-0.5999999999999996,0.0,-0.4000000000000004,1025.0,1026.0,1026.0,37.0,40.0,43.0,2.0,2.0,1.0,20.0,20.0,20.0
8,2017-01-01,12,12,12,9.4,9.4,9.4,1025,87,2,20,Clouds,12.0,12.0,12.0,13.0,13.0,12.0,12.0,12.0,12.0,6.8,-0.5999999999999996,0.0,7.8,0.4000000000000004,0.0,6.8,-0.5999999999999996,0.0,1025.0,1025.0,1026.0,74.0,37.0,40.0,2.0,2.0,2.0,20.0,20.0,20.0
9,2017-01-01,10,11,10,-1.4000000000000004,-0.4000000000000004,-1.4000000000000004,1025,43,1,40,Clouds,12.0,12.0,12.0,12.0,13.0,13.0,12.0,12.0,12.0,9.4,6.8,-0.5999999999999996,9.4,7.8,0.4000000000000004,9.4,6.8,-0.5999999999999996,1025.0,1025.0,1025.0,87.0,74.0,37.0,2.0,2.0,2.0,20.0,20.0,20.0
10,2017-01-01,9,9,9,6.4,6.4,6.4,1026,87,1,20,Clouds,10.0,12.0,12.0,11.0,12.0,13.0,10.0,12.0,12.0,-1.4000000000000004,9.4,6.8,-0.4000000000000004,9.4,7.8,-1.4000000000000004,9.4,6.8,1025.0,1025.0,1025.0,43.0,87.0,74.0,1.0,2.0,2.0,40.0,20.0,20.0
11,2017-01-01,8,8,8,0.20000000000000015,0.20000000000000015,0.20000000000000015,1026,61,0,20,Clouds,9.0,10.0,12.0,9.0,11.0,12.0,9.0,10.0,12.0,6.4,-1.4000000000000004,9.4,6.4,-0.4000000000000004,9.4,6.4,-1.4000000000000004,9.4,1026.0,1025.0,1025.0,87.0,43.0,87.0,1.0,1.0,2.0,20.0,40.0,20.0
12,2017-01-01,8,9,7,1.0,2.0,0.0,1025,65,1,20,Clouds,8.0,9.0,10.0,8.0,9.0,11.0,8.0,9.0,10.0,0.20000000000000015,6.4,-1.4000000000000004,0.20000000000000015,6.4,-0.4000000000000004,0.20000000000000015,6.4,-1.4000000000000004,1026.0,1026.0,1025.0,61.0,87.0,43.0,0.0,1.0,1.0,20.0,20.0,40.0
13,2017-01-01,9,9,9,5.2,5.2,5.2,1025,81,2,0,Clear,8.0,8.0,9.0,9.0,8.0,9.0,7.0,8.0,9.0,1.0,0.20000000000000015,6.4,2.0,0.20000000000000015,6.4,0.0,0.20000000000000015,6.4,1025.0,1026.0,1026.0,65.0,61.0,87.0,1.0,0.0,1.0,20.0,20.0,20.0
14,2017-01-01,0,0,0,-1.8,-1.8,-1.8,1017,91,1,8,Clear,9.0,8.0,8.0,9.0,9.0,8.0,9.0,7.0,8.0,5.2,1.0,0.20000000000000015,5.2,2.0,0.20000000000000015,5.2,0.0,0.20000000000000015,1025.0,1025.0,1026.0,81.0,65.0,61.0,2.0,1.0,0.0,0.0,20.0,20.0
15,2017-01-01,0,0,0,-1.8,-1.8,-1.8,1016,91,1,0,Clear,0.0,9.0,8.0,0.0,9.0,9.0,0.0,9.0,7.0,-1.8,5.2,1.0,-1.8,5.2,2.0,-1.8,5.2,0.0,1017.0,1025.0,1025.0,91.0,81.0,65.0,1.0,2.0,1.0,8.0,0.0,20.0
16,2017-01-01,0,0,0,-1.8,-1.8,-1.8,1016,91,1,0,Clear,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,-1.8,-1.8,5.2,-1.8,-1.8,5.2,-1.8,-1.8,5.2,1016.0,1017.0,1025.0,91.0,91.0,81.0,1.0,1.0,2.0,0.0,8.0,0.0
17,2017-01-01,-2,-2,-2,-4.6,-4.6,-4.6,1015,87,1,24,Clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,1016.0,1016.0,1017.0,91.0,91.0,91.0,1.0,1.0,1.0,0.0,0.0,8.0
18,2017-01-01,-2,-2,-2,-4.6,-4.6,-4.6,1015,87,1,24,Clouds,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-4.6,-1.8,-1.8,-4.6,-1.8,-1.8,-4.6,-1.8,-1.8,1015.0,1016.0,1016.0,87.0,91.0,91.0,1.0,1.0,1.0,24.0,0.0,0.0
19,2017-01-01,-2,-2,-2,-4.6,-4.6,-4.6,1015,87,1,24,Clouds,-2.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,0.0,-4.6,-4.6,-1.8,-4.6,-4.6,-1.8,-4.6,-4.6,-1.8,1015.0,1015.0,1016.0,87.0,87.0,91.0,1.0,1.0,1.0,24.0,24.0,0.0
20,2017-01-01,-3,-3,-3,-5.6,-5.6,-5.6,1014,87,1,0,Clear,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,1015.0,1015.0,1015.0,87.0,87.0,87.0,1.0,1.0,1.0,24.0,24.0,24.0
21,2017-01-01,2,2,2,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,1022,87,1,75,Clouds,-3.0,-2.0,-2.0,-3.0,-2.0,-2.0,-3.0,-2.0,-2.0,-5.6,-4.6,-4.6,-5.6,-4.6,-4.6,-5.6,-4.6,-4.6,1014.0,1015.0,1015.0,87.0,87.0,87.0,1.0,1.0,1.0,0.0,24.0,24.0
22,2017-01-01,2,2,2,0.6000000000000001,0.6000000000000001,0.6000000000000001,1022,93,1,40,Clouds,2.0,-3.0,-2.0,2.0,-3.0,-2.0,2.0,-3.0,-2.0,-0.6000000000000001,-5.6,-4.6,-0.6000000000000001,-5.6,-4.6,-0.6000000000000001,-5.6,-4.6,1022.0,1014.0,1015.0,87.0,87.0,87.0,1.0,1.0,1.0,75.0,0.0,24.0
23,2017-01-01,3,5,1,1.2,3.2,-0.8,1022,91,0,20,Clouds,2.0,2.0,-3.0,2.0,2.0,-3.0,2.0,2.0,-3.0,0.6000000000000001,-0.6000000000000001,-5.6,0.6000000000000001,-0.6000000000000001,-5.6,0.6000000000000001,-0.6000000000000001,-5.6,1022.0,1022.0,1014.0,93.0,87.0,87.0,1.0,1.0,1.0,40.0,75.0,0.0
24,2017-01-02,4,6,2,2.6,4.6,0.6000000000000001,1022,93,2,20,Clouds,3.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,1.2,0.6000000000000001,-0.6000000000000001,3.2,0.6000000000000001,-0.6000000000000001,-0.8,0.6000000000000001,-0.6000000000000001,1022.0,1022.0,1022.0,91.0,93.0,87.0,0.0,1.0,1.0,20.0,40.0,75.0
25,2017-01-02,7,8,5,2.0,3.0,0.0,1022,75,1,20,Clouds,4.0,3.0,2.0,6.0,5.0,2.0,2.0,1.0,2.0,2.6,1.2,0.6000000000000001,4.6,3.2,0.6000000000000001,0.6000000000000001,-0.8,0.6000000000000001,1022.0,1022.0,1022.0,93.0,91.0,93.0,2.0,0.0,1.0,20.0,20.0,40.0
26,2017-01-02,9,9,8,2.0,2.0,1.0,1022,65,1,75,Clouds,7.0,4.0,3.0,8.0,6.0,5.0,5.0,2.0,1.0,2.0,2.6,1.2,3.0,4.6,3.2,0.0,0.6000000000000001,-0.8,1022.0,1022.0,1022.0,75.0,93.0,91.0,1.0,2.0,0.0,20.0,20.0,20.0
27,2017-01-02,9,10,9,0.4000000000000004,1.4000000000000004,0.4000000000000004,1021,57,1,75,Clouds,9.0,7.0,4.0,9.0,8.0,6.0,8.0,5.0,2.0,2.0,2.0,2.6,2.0,3.0,4.6,1.0,0.0,0.6000000000000001,1022.0,1022.0,1022.0,65.0,75.0,93.0,1.0,1.0,2.0,75.0,20.0,20.0
28,2017-01-02,10,11,10,1.4000000000000004,2.4000000000000004,1.4000000000000004,1020,57,1,75,Clouds,9.0,9.0,7.0,10.0,9.0,8.0,9.0,8.0,5.0,0.4000000000000004,2.0,2.0,1.4000000000000004,2.0,3.0,0.4000000000000004,1.0,0.0,1021.0,1022.0,1022.0,57.0,65.0,75.0,1.0,1.0,1.0,75.0,75.0,20.0
