,Date,Mean_temp,Max_temp,Min_temp,Mean_dwp,Max_dwp,Min_dwp,Pressure,Humidity,Wind,Clouds,Description
0,2019-01-18 18:56:00,22.3,22.8,21.7,15.3,15.8,14.7,1020,65,4.6,20,Clouds
0,2019-01-18 19:56:00,24.24,25,23.3,16.64,17.4,15.700000000000001,1020,62,5.1,1,Clear
0,2019-01-18 20:56:00,25.06,25.6,24.4,16.06,16.6,15.399999999999999,1020,55,6.2,40,Clouds
0,2019-01-18 21:56:00,25.66,26.7,24.4,17.259999999999998,18.299999999999997,15.999999999999998,1020,58,6.7,75,Clouds
0,2019-01-18 22:56:00,25.06,25.6,24.4,16.659999999999997,17.200000000000003,15.999999999999998,1019,58,6.7,20,Clouds
0,2019-01-18 23:56:00,25.06,25.6,24.4,16.659999999999997,17.200000000000003,15.999999999999998,1018,58,5.7,20,Clouds
0,2019-01-19 00:56:00,24.84,25.6,23.9,16.64,17.400000000000002,15.7,1018,59,6.2,20,Clouds
0,2019-01-19 01:56:00,24.73,25,24.4,16.33,16.6,15.999999999999998,1017,58,5.1,90,Clouds
0,2019-01-19 02:56:00,24.01,25,22.8,16.61,17.6,15.4,1018,63,5.1,90,Clouds
0,2019-01-19 03:56:00,23.41,23.9,22.8,16.41,16.9,15.8,1018,65,4.6,90,Clouds
