,Date,Mean_temp,Max_temp,Min_temp,Mean_dwp,Max_dwp,Min_dwp,Pressure,Humidity,Wind,Clouds,Description
0,2019-01-18 19:47:55,-5.68,-5.68,-5.68,-8.68,-8.68,-8.68,1016.8,85,1.16,0,Clear
0,2019-01-18 19:47:55,-5.68,-5.68,-5.68,-8.68,-8.68,-8.68,1016.8,85,1.16,0,Clear
0,2019-01-18 20:00:00,1,1,1,-2.0,-2.0,-2.0,1024,85,1.5,20,Clouds
0,2019-01-18 21:00:00,1,1,1,-2.0,-2.0,-2.0,1024,85,0.5,20,Clouds
0,2019-01-18 22:00:00,2.08,3,1,-0.9199999999999999,0.0,-2.0,1025,85,1.5,20,Clouds
0,2019-01-18 23:00:00,2.7,4,2,-0.2999999999999998,1.0,-1.0,1025,85,0.5,20,Clouds
0,2019-01-19 00:00:00,5.03,6,4,1.0300000000000002,2.0,0.0,1025,80,1,20,Clouds
0,2019-01-19 01:00:00,7.33,8,7,1.33,2.0,1.0,1025,70,1,75,Clouds
0,2019-01-19 02:00:00,8.68,9,8,1.6799999999999997,2.0,1.0,1025,65,1,75,Clouds
0,2019-01-19 03:00:00,10.33,11,10,1.7300000000000004,2.4000000000000004,1.4000000000000004,1024,57,2.6,20,Clouds
0,2019-01-19 04:00:00,10.33,11,10,0.9299999999999997,1.5999999999999996,0.5999999999999996,1023,53,2.6,20,Clouds
