,Date,Temperature(C),Max_temp,Min_temp,Dew_point,Max_dew_point,Min_dew_point,Pressure,Humidity,Wind,Clouds,Description
0,2017-01-01 00:00:00,6,7,4,3.6,4.6,1.6,1028,88,2,75,Clouds
1,2017-01-01 01:00:00,7,9,5,4.6,6.6,2.6,1028,88,1,75,Clouds
2,2017-01-01 02:00:00,9,10,7,2.0,3.0,0.0,1028,65,1,40,Clouds
3,2017-01-01 03:00:00,11,11,10,0.1999999999999993,0.1999999999999993,-0.8000000000000007,1027,46,1,20,Clouds
4,2017-01-01 04:00:00,12,12,11,0.5999999999999996,0.5999999999999996,-0.40000000000000036,1026,43,1,20,Clouds
5,2017-01-01 05:00:00,12,12,12,0.0,0.0,0.0,1026,40,2,20,Clouds
6,2017-01-01 06:00:00,12,13,12,-0.5999999999999996,0.40000000000000036,-0.5999999999999996,1025,37,2,20,Clouds
7,2017-01-01 07:00:00,12,13,12,6.8,7.8,6.8,1025,74,2,20,Clouds
8,2017-01-01 08:00:00,12,12,12,9.4,9.4,9.4,1025,87,2,20,Clouds
9,2017-01-01 09:00:00,10,11,10,-1.4000000000000004,-0.40000000000000036,-1.4000000000000004,1025,43,1,40,Clouds
10,2017-01-01 10:00:00,9,9,9,6.4,6.4,6.4,1026,87,1,20,Clouds
11,2017-01-01 11:00:00,8,8,8,0.20000000000000018,0.20000000000000018,0.20000000000000018,1026,61,0,20,Clouds
12,2017-01-01 12:00:00,8,9,7,1.0,2.0,0.0,1025,65,1,20,Clouds
13,2017-01-01 13:00:00,9,9,9,5.2,5.2,5.2,1025,81,2,0,Clear
14,2017-01-01 14:00:00,0,0,0,-1.8,-1.8,-1.8,1017,91,1,8,Clear
15,2017-01-01 15:00:00,0,0,0,-1.8,-1.8,-1.8,1016,91,1,0,Clear
16,2017-01-01 16:00:00,0,0,0,-1.8,-1.8,-1.8,1016,91,1,0,Clear
17,2017-01-01 17:00:00,-2,-2,-2,-4.6,-4.6,-4.6,1015,87,1,24,Clouds
18,2017-01-01 18:00:00,-2,-2,-2,-4.6,-4.6,-4.6,1015,87,1,24,Clouds
19,2017-01-01 19:00:00,-2,-2,-2,-4.6,-4.6,-4.6,1015,87,1,24,Clouds
20,2017-01-01 20:00:00,-3,-3,-3,-5.6,-5.6,-5.6,1014,87,1,0,Clear
21,2017-01-01 21:00:00,2,2,2,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,1022,87,1,75,Clouds
22,2017-01-01 22:00:00,2,2,2,0.6000000000000001,0.6000000000000001,0.6000000000000001,1022,93,1,40,Clouds
23,2017-01-01 23:00:00,3,5,1,1.2,3.2,-0.8,1022,91,0,20,Clouds
24,2017-01-02 00:00:00,4,6,2,2.6,4.6,0.6000000000000001,1022,93,2,20,Clouds
25,2017-01-02 01:00:00,7,8,5,2.0,3.0,0.0,1022,75,1,20,Clouds
26,2017-01-02 02:00:00,9,9,8,2.0,2.0,1.0,1022,65,1,75,Clouds
27,2017-01-02 03:00:00,9,10,9,0.40000000000000036,1.4000000000000004,0.40000000000000036,1021,57,1,75,Clouds
28,2017-01-02 04:00:00,10,11,10,1.4000000000000004,2.4000000000000004,1.4000000000000004,1020,57,1,75,Clouds
29,2017-01-02 05:00:00,11,12,11,1.8000000000000007,2.8000000000000007,1.8000000000000007,1019,54,1,75,Clouds
30,2017-01-02 06:00:00,11,12,11,2.5999999999999996,3.5999999999999996,2.5999999999999996,1018,58,2,75,Clouds
31,2017-01-02 07:00:00,11,12,11,2.5999999999999996,3.5999999999999996,2.5999999999999996,1018,58,4,75,Clouds
32,2017-01-02 08:00:00,11,11,11,3.4000000000000004,3.4000000000000004,3.4000000000000004,1018,62,4,20,Clouds
33,2017-01-02 09:00:00,11,11,11,3.4000000000000004,3.4000000000000004,3.4000000000000004,1018,62,3,75,Clouds
34,2017-01-02 10:00:00,11,11,10,4.2,4.2,3.2,1018,66,2,40,Clouds
35,2017-01-02 11:00:00,10,11,9,4.0,5.0,3.0,1019,70,1,40,Clouds
36,2017-01-02 12:00:00,8,8,7,4.2,4.2,3.2,1018,81,1,20,Clouds
37,2017-01-02 13:00:00,8,8,8,6.6,6.6,6.6,1018,93,2,0,Clear
38,2017-01-02 14:00:00,1,1,1,-1.0,-1.0,-1.0,1010,90,2,0,Clear
39,2017-01-02 15:00:00,1,1,1,-1.0,-1.0,-1.0,1010,90,2,0,Clear
40,2017-01-02 16:00:00,1,1,1,-1.0,-1.0,-1.0,1010,90,2,0,Clear
41,2017-01-02 17:00:00,0,0,0,-2.4,-2.4,-2.4,1009,88,2,0,Clear
42,2017-01-02 18:00:00,0,0,0,-2.4,-2.4,-2.4,1009,88,2,0,Clear
43,2017-01-02 19:00:00,0,0,0,-2.4,-2.4,-2.4,1009,88,2,0,Clear
44,2017-01-02 20:00:00,2,2,2,0.6000000000000001,0.6000000000000001,0.6000000000000001,1009,93,3,8,Clear
45,2017-01-02 21:00:00,4,4,4,2.6,2.6,2.6,1017,93,1,20,Clouds
46,2017-01-02 22:00:00,3,3,3,1.6,1.6,1.6,1017,93,1,40,Clouds
47,2017-01-02 23:00:00,6,7,4,3.2,4.2,1.2000000000000002,1018,86,3,40,Clouds
48,2017-01-03 00:00:00,7,9,5,3.0,5.0,1.0,1018,80,3,40,Clouds
49,2017-01-03 01:00:00,9,10,8,3.0,4.0,2.0,1019,70,4,20,Clouds
50,2017-01-03 02:00:00,12,12,11,3.4000000000000004,3.4000000000000004,2.4000000000000004,1019,57,4,40,Clouds
51,2017-01-03 03:00:00,13,13,12,3.8000000000000007,3.8000000000000007,2.8000000000000007,1019,54,3,40,Clouds
52,2017-01-03 04:00:00,13,13,12,3.0,3.0,2.0,1018,50,7,40,Rain
53,2017-01-03 05:00:00,14,14,13,2.5999999999999996,2.5999999999999996,1.5999999999999996,1017,43,5,40,Rain
54,2017-01-03 06:00:00,14,14,13,3.4000000000000004,3.4000000000000004,2.4000000000000004,1018,47,5,40,Rain
55,2017-01-03 07:00:00,13,13,12,3.0,3.0,2.0,1018,50,5,40,Clouds
56,2017-01-03 08:00:00,12,12,12,1.1999999999999993,1.1999999999999993,1.1999999999999993,1018,46,4,40,Clouds
57,2017-01-03 09:00:00,11,11,10,1.5999999999999996,1.5999999999999996,0.5999999999999996,1019,53,5,20,Clouds
58,2017-01-03 10:00:00,10,10,9,1.4000000000000004,1.4000000000000004,0.40000000000000036,1020,57,2,20,Clouds
59,2017-01-03 11:00:00,9,10,8,1.2000000000000002,2.2,0.20000000000000018,1020,61,2,20,Clouds
60,2017-01-03 12:00:00,9,9,8,2.0,2.0,1.0,1020,65,2,20,Clouds
61,2017-01-03 13:00:00,7,7,7,3.2,3.2,3.2,1020,81,3,20,Clouds
62,2017-01-03 14:00:00,2,2,2,0.8,0.8,0.8,1012,94,1,64,Clouds
63,2017-01-03 15:00:00,-1,-1,-1,-2.2,-2.2,-2.2,1012,94,0,20,Clouds
64,2017-01-03 16:00:00,-1,-1,-1,-2.2,-2.2,-2.2,1012,94,0,20,Clouds
65,2017-01-03 17:00:00,-2,-2,-2,-3.6,-3.6,-3.6,1011,92,1,0,Clear
66,2017-01-03 18:00:00,-2,-2,-2,-3.6,-3.6,-3.6,1011,92,1,0,Clear
67,2017-01-03 19:00:00,-2,-2,-2,-3.6,-3.6,-3.6,1011,92,1,0,Clear
68,2017-01-03 20:00:00,-1,-1,-1,-3.4,-3.4,-3.4,1011,88,2,0,Clear
69,2017-01-03 21:00:00,2,2,2,0.6000000000000001,0.6000000000000001,0.6000000000000001,1019,93,1,20,Clouds
70,2017-01-03 22:00:00,2,2,2,0.6000000000000001,0.6000000000000001,0.6000000000000001,1019,93,0,20,Clouds
71,2017-01-03 23:00:00,3,4,2,1.6,2.6,0.6000000000000001,1020,93,1,0,Clear
72,2017-01-04 00:00:00,4,5,3,1.2000000000000002,2.2,0.20000000000000018,1020,86,2,0,Clear
73,2017-01-04 01:00:00,7,9,5,2.0,4.0,0.0,1020,75,1,20,Clouds
74,2017-01-04 02:00:00,9,10,8,2.0,3.0,1.0,1020,65,0,20,Clouds
75,2017-01-04 03:00:00,11,12,10,1.5999999999999996,2.5999999999999996,0.5999999999999996,1019,53,1,40,Clouds
76,2017-01-04 04:00:00,13,13,12,3.0,3.0,2.0,1018,50,1,75,Clouds
77,2017-01-04 05:00:00,12,12,12,1.1999999999999993,1.1999999999999993,1.1999999999999993,1018,46,2,20,Clouds
78,2017-01-04 06:00:00,13,14,13,0.0,1.0,0.0,1017,35,5,75,Clouds
79,2017-01-04 07:00:00,14,14,13,1.4000000000000004,1.4000000000000004,0.40000000000000036,1017,37,6,75,Clouds
80,2017-01-04 08:00:00,13,13,12,2.1999999999999993,2.1999999999999993,1.1999999999999993,1018,46,5,75,Clouds
81,2017-01-04 09:00:00,11,11,10,2.4000000000000004,2.4000000000000004,1.4000000000000004,1019,57,6,75,Clouds
82,2017-01-04 10:00:00,10,10,9,2.2,2.2,1.2000000000000002,1020,61,3,75,Clouds
83,2017-01-04 11:00:00,9,10,8,1.2000000000000002,2.2,0.20000000000000018,1020,61,4,75,Clouds
84,2017-01-04 12:00:00,9,9,8,1.2000000000000002,1.2000000000000002,0.20000000000000018,1020,61,3,75,Clouds
85,2017-01-04 13:00:00,9,9,9,3.0,3.0,3.0,1020,70,7,75,Clouds
86,2017-01-04 14:00:00,4,4,4,2.8,2.8,2.8,1011,94,2,48,Clouds
87,2017-01-04 15:00:00,2,2,2,1.0,1.0,1.0,1012,95,2,0,Clear
88,2017-01-04 16:00:00,2,2,2,1.0,1.0,1.0,1012,95,2,0,Clear
89,2017-01-04 17:00:00,0,0,0,-1.8,-1.8,-1.8,1013,91,2,0,Clear
90,2017-01-04 18:00:00,0,0,0,-1.8,-1.8,-1.8,1013,91,2,0,Clear
91,2017-01-04 19:00:00,0,0,0,-1.8,-1.8,-1.8,1013,91,2,0,Clear
92,2017-01-04 20:00:00,0,0,0,-1.8,-1.8,-1.8,1013,91,3,0,Clear
93,2017-01-04 21:00:00,6,6,6,-2.0,-2.0,-2.0,1021,60,3,75,Clouds
94,2017-01-04 22:00:00,5,5,5,-3.8000000000000007,-3.8000000000000007,-3.8000000000000007,1022,56,2,40,Clouds
95,2017-01-04 23:00:00,7,7,6,-3.4000000000000004,-3.4000000000000004,-4.4,1023,48,2,40,Clouds
96,2017-01-05 00:00:00,7,7,7,-4.0,-4.0,-4.0,1023,45,3,20,Clouds
97,2017-01-05 01:00:00,8,8,8,-4.199999999999999,-4.199999999999999,-4.199999999999999,1023,39,4,75,Clouds
98,2017-01-05 02:00:00,8,9,8,-4.199999999999999,-3.1999999999999993,-4.199999999999999,1024,39,6,75,Clouds
99,2017-01-05 03:00:00,9,10,8,-2.5999999999999996,-1.5999999999999996,-3.5999999999999996,1024,42,7,75,Clouds
100,2017-01-05 04:00:00,10,10,9,-3.8000000000000007,-3.8000000000000007,-4.800000000000001,1022,31,7,75,Clouds
101,2017-01-05 05:00:00,10,10,10,-4.199999999999999,-4.199999999999999,-4.199999999999999,1022,29,8,75,Clouds
102,2017-01-05 06:00:00,10,10,9,-3.1999999999999993,-3.1999999999999993,-4.199999999999999,1022,34,8,40,Clouds
103,2017-01-05 07:00:00,9,9,8,-3.8000000000000007,-3.8000000000000007,-4.800000000000001,1023,36,7,75,Clouds
104,2017-01-05 08:00:00,8,8,7,-3.5999999999999996,-3.5999999999999996,-4.6,1024,42,6,75,Clouds
105,2017-01-05 09:00:00,7,7,6,-4.0,-4.0,-5.0,1024,45,5,75,Clouds
106,2017-01-05 10:00:00,7,7,6,-4.0,-4.0,-5.0,1025,45,3,75,Clouds
107,2017-01-05 11:00:00,7,7,6,-4.0,-4.0,-5.0,1025,45,3,75,Clouds
108,2017-01-05 12:00:00,6,6,5,-4.4,-4.4,-5.4,1025,48,1,75,Clouds
109,2017-01-05 13:00:00,6,6,6,-4.4,-4.4,-4.4,1026,48,4,75,Clouds
110,2017-01-05 14:00:00,3,3,3,-1.7999999999999998,-1.7999999999999998,-1.7999999999999998,1016,76,3,20,Clouds
111,2017-01-05 15:00:00,3,3,3,-2.4000000000000004,-2.4000000000000004,-2.4000000000000004,1016,73,3,88,Clouds
112,2017-01-05 16:00:00,3,3,3,-2.4000000000000004,-2.4000000000000004,-2.4000000000000004,1016,73,3,88,Clouds
113,2017-01-05 17:00:00,3,3,3,-1.5999999999999996,-1.5999999999999996,-1.5999999999999996,1016,77,3,68,Clouds
114,2017-01-05 18:00:00,3,3,3,-1.5999999999999996,-1.5999999999999996,-1.5999999999999996,1016,77,3,68,Clouds
115,2017-01-05 19:00:00,3,3,3,-1.5999999999999996,-1.5999999999999996,-1.5999999999999996,1016,77,3,68,Clouds
116,2017-01-05 20:00:00,2,2,2,-2.0,-2.0,-2.0,1015,80,2,56,Clouds
117,2017-01-05 21:00:00,6,6,6,-4.4,-4.4,-4.4,1024,48,1,75,Clouds
118,2017-01-05 22:00:00,6,6,6,-5.0,-5.0,-5.0,1025,45,1,75,Clouds
119,2017-01-05 23:00:00,6,6,6,-5.0,-5.0,-5.0,1026,45,1,75,Clouds
120,2017-01-06 00:00:00,7,7,6,-3.4000000000000004,-3.4000000000000004,-4.4,1026,48,1,75,Clouds
121,2017-01-06 01:00:00,7,7,7,-4.0,-4.0,-4.0,1026,45,4,75,Clouds
122,2017-01-06 02:00:00,8,8,8,-3.5999999999999996,-3.5999999999999996,-3.5999999999999996,1026,42,4,75,Clouds
123,2017-01-06 03:00:00,8,8,8,-4.199999999999999,-4.199999999999999,-4.199999999999999,1026,39,3,40,Clouds
