,Date,Mean_temp,Max_temp,Min_temp,Mean_dwp,Max_dwp,Min_dwp,Pressure,Humidity,Wind,Clouds,Description
0,2019-01-18 19:00:00,24,24,24,20.6,20.6,20.6,1013,83,9.3,40,Clouds
0,2019-01-18 20:00:00,24.45,25,24,20.049999999999997,20.6,19.6,1013,78,9.3,40,Clouds
0,2019-01-18 21:00:00,25.55,26,25,21.15,21.6,20.6,1013,78,10.3,75,Rain
0,2019-01-18 22:30:00,26.08,27,25,22.68,23.6,21.6,1015,83,10.3,75,Clouds
0,2019-01-18 23:47:00,26.82,29,24,24.42,26.6,21.6,1016,88,9.3,75,Clouds
0,2019-01-19 00:30:00,26.69,29,24,22.29,24.6,19.6,1017,78,10.8,75,Clouds
0,2019-01-19 01:33:00,25.17,27,23,21.770000000000003,23.6,19.6,1018,83,10.3,90,Clouds
0,2019-01-19 02:30:00,25.15,27,23,21.75,23.6,19.6,1018,83,10.3,75,Clouds
0,2019-01-19 03:30:00,24.08,25,23,20.68,21.6,19.6,1018,83,8.7,75,Clouds
0,2019-01-19 04:30:00,24.61,26,23,21.21,22.6,19.6,1018,83,9.3,75,Clouds
