,Date,Mean_temp,Max_temp,Min_temp,Mean_dwp,Max_dwp,Min_dwp,Pressure,Humidity,Wind,Clouds,Description
0,2019-01-18 19:30:00,5.95,7,5,-1.0499999999999998,0.0,-2.0,1013,65,3.6,40,Clouds
0,2019-01-18 20:30:00,6.42,8,5,-1.38,0.20000000000000018,-2.8,1013,61,4.1,40,Clouds
0,2019-01-18 21:30:00,6.42,8,5,-1.38,0.20000000000000018,-2.8,1013,61,4.6,75,Clouds
0,2019-01-18 22:30:00,6.42,8,5,-1.9800000000000004,-0.40000000000000036,-3.4000000000000004,1014,58,4.1,75,Clouds
0,2019-01-18 23:30:00,5.9,8,4,-2.5,-0.40000000000000036,-4.4,1013,58,4.1,75,Clouds
0,2019-01-19 00:30:00,4.9,7,3,-3.5,-1.4000000000000004,-5.4,1013,58,3.6,75,Clouds
0,2019-01-19 01:30:00,4.9,7,3,-3.9000000000000004,-1.8000000000000007,-5.800000000000001,1013,56,4.1,75,Clouds
0,2019-01-19 02:30:00,4.9,7,3,-3.9000000000000004,-1.8000000000000007,-5.800000000000001,1013,56,4.1,0,Clear
0,2019-01-19 03:30:00,4.42,6,3,-3.58,-2.0,-5.0,1013,60,4.6,0,Clear
0,2019-01-19 04:30:00,4.42,6,3,-3.58,-2.0,-5.0,1013,60,4.1,0,Clear
