,Date,Mean_temp,Max_temp,Min_temp,Mean_dwp,Max_dwp,Min_dwp,Pressure,Humidity,Wind,Clouds,Description
0,2019-01-18 19:25:00,0.35,1,0,-1.0499999999999998,-0.3999999999999999,-1.4,1019,93,3.6,0,Clear
0,2019-01-18 20:25:00,-0.65,0,-1,-2.25,-1.6,-2.6,1019,92,3.6,20,Clouds
0,2019-01-18 21:25:00,-0.96,0,-2,-2.56,-1.6,-3.6,1019,92,2.1,40,Mist
0,2019-01-18 22:25:00,-0.61,0,-2,-0.61,0.0,-2.0,1019,100,4.1,75,Mist
0,2019-01-18 23:25:00,-0.32,0,-1,-1.9200000000000002,-1.6,-2.6,1018,92,3.1,75,Fog
0,2019-01-19 00:25:00,-0.66,0,-1,-2.2600000000000002,-1.6,-2.6,1018,92,3.6,90,Fog
0,2019-01-19 01:31:00,-1.34,-1,-2,-2.9400000000000004,-2.6,-3.6,1018,92,4.1,90,Fog
0,2019-01-19 02:25:00,-1.35,-1,-2,-2.95,-2.6,-3.6,1018,92,3.1,75,Mist
0,2019-01-19 03:25:00,-1,-1,-1,-1.0,-1.0,-1.0,1017,100,3.1,75,Mist
0,2019-01-19 04:25:00,-1.35,-1,-2,-2.95,-2.6,-3.6,1017,92,4.1,90,Mist
0,2019-01-19 05:27:00,-1.66,-1,-2,-1.66,-1.0,-2.0,1016,100,4.6,75,Mist
0,2019-01-19 06:25:00,-1.66,-1,-2,-3.26,-2.6,-3.6,1016,92,3.1,40,Fog
0,2019-01-19 07:29:00,-2.32,-2,-3,-3.92,-3.6,-4.6,1016,92,3.1,56,Mist
0,2019-01-19 08:25:00,-1.66,-1,-2,-3.26,-2.6,-3.6,1016,92,3.6,0,Mist
0,2019-01-19 09:25:00,-0.32,0,-1,-3.1199999999999997,-2.8,-3.8,1016,86,4.1,0,Mist
0,2019-01-19 10:25:00,0.69,1,0,-0.71,-0.3999999999999999,-1.4,1016,93,4.6,0,Clear
0,2019-01-19 11:25:00,1.69,2,1,-2.31,-2.0,-3.0,1016,80,4.6,0,Clear
0,2019-01-19 12:25:00,2.69,3,2,-2.5100000000000002,-2.2,-3.2,1015,74,4.1,0,Clear
0,2019-01-19 13:27:00,2.69,3,2,-2.5100000000000002,-2.2,-3.2,1015,74,4.1,0,Clear
0,2019-01-19 14:25:00,2.34,3,2,-2.8600000000000003,-2.2,-3.2,1014,74,4.1,0,Clear
0,2019-01-19 15:25:00,1.69,2,1,-3.5100000000000002,-3.2,-4.2,1014,74,5.1,0,Clear
0,2019-01-19 16:25:00,1,1,1,-4.2,-4.2,-4.2,1014,74,4.6,0,Clear
0,2019-01-19 18:25:00,-0.32,0,-1,-3.1199999999999997,-2.8,-3.8,1014,86,4.1,0,Clear
0,2019-01-19 18:25:00,-0.32,0,-1,-3.1199999999999997,-2.8,-3.8,1014,86,4.1,0,Clear
0,2019-01-19 18:55:00,-0.32,0,-1,-4.32,-4.0,-5.0,1014,80,4.1,0,Clear
0,2019-01-19 18:55:00,-0.32,0,-1,-4.32,-4.0,-5.0,1014,80,4.1,0,Clear
0,2019-01-19 19:55:00,-0.96,0,-2,-3.76,-2.8,-4.8,1014,86,3.6,0,Clear
0,2019-01-19 20:55:00,-1.32,-1,-2,-4.12,-3.8,-4.8,1014,86,4.1,0,Clear
0,2019-01-19 22:25:00,-1.32,-1,-2,-5.5200000000000005,-5.2,-6.2,1014,79,4.1,0,Clear
0,2019-01-19 23:25:00,-1.96,-1,-3,-4.76,-3.8,-5.8,1014,86,3.6,0,Clear
0,2019-01-20 00:25:00,-1.96,-1,-3,-6.16,-5.2,-7.2,1014,79,3.1,0,Clear
0,2019-01-20 01:25:00,-2.3,-1,-3,-6.5,-5.2,-7.2,1014,79,3.6,0,Clear
0,2019-01-20 02:25:00,-2.65,-2,-3,-6.85,-6.2,-7.2,1014,79,3.6,0,Clear
0,2019-01-20 03:25:00,-2.65,-1,-4,-6.85,-5.2,-8.2,1014,79,3.6,0,Clear
0,2019-01-20 04:25:00,-3.3,-1,-5,-7.5,-5.2,-9.2,1015,79,2.1,0,Clear
0,2019-01-20 05:25:00,-3.92,-1,-6,-6.92,-4.0,-9.0,1015,85,2.6,0,Clear
0,2019-01-20 06:25:00,-3.61,-1,-5,-6.609999999999999,-4.0,-8.0,1015,85,3.1,0,Clear
0,2019-01-20 07:25:00,-3.6,0,-6,-6.6,-3.0,-9.0,1016,85,2.1,0,Clear
0,2019-01-20 08:25:00,-2.95,0,-5,-7.15,-4.2,-9.2,1017,79,2.1,0,Clear
0,2019-01-20 09:25:00,-1,0,-2,-7.4,-6.4,-8.4,1017,68,2.1,0,Clear
0,2019-01-20 10:25:00,0.66,1,0,-7.539999999999999,-7.199999999999999,-8.2,1018,59,2.1,0,Clear
0,2019-01-20 11:25:00,1.66,2,1,-8.14,-7.800000000000001,-8.8,1018,51,1,0,Clear
0,2019-01-20 12:25:00,2.31,3,2,-7.49,-6.800000000000001,-7.800000000000001,1018,51,2.6,0,Clear
0,2019-01-20 13:25:00,2.31,3,2,-7.49,-6.800000000000001,-7.800000000000001,1018,51,3.6,0,Clear
0,2019-01-20 14:25:00,2.31,3,2,-7.49,-6.800000000000001,-7.800000000000001,1018,51,3.1,0,Clear
0,2019-01-20 15:25:00,1,1,1,-5.2,-5.2,-5.2,1019,69,3.1,0,Clear
0,2019-01-20 16:25:00,0.34,1,0,-1.66,-1.0,-2.0,1019,90,2.1,0,Clear
0,2019-01-20 17:25:00,-1,0,-2,-5.0,-4.0,-6.0,1020,80,1,0,Clear
0,2019-01-20 18:25:00,-1.69,-1,-2,-5.6899999999999995,-5.0,-6.0,1021,80,0.5,0,Clear
0,2019-01-20 19:25:00,-2.35,-2,-3,-5.15,-4.8,-5.8,1021,86,1,0,Clear
0,2019-01-20 20:25:00,-3.35,-3,-4,-6.15,-5.8,-6.8,1022,86,0.5,0,Clear
0,2019-01-20 21:31:00,-3.69,-3,-4,-5.29,-4.6,-5.6,1022,92,0.5,0,Mist
0,2019-01-20 22:29:00,-4.69,-4,-5,-4.69,-4.0,-5.0,1022,100,0.5,0,Mist
0,2019-01-20 23:25:00,-4.69,-4,-5,-6.290000000000001,-5.6,-6.6,1023,92,0.5,0,Mist
0,2019-01-21 00:25:00,-5,-5,-5,-6.6,-6.6,-6.6,1023,92,1.5,0,Mist
0,2019-01-21 01:25:00,-5.69,-5,-7,-7.290000000000001,-6.6,-8.6,1023,92,0.5,0,Mist
0,2019-01-21 02:25:00,-6.34,-6,-7,-7.9399999999999995,-7.6,-8.6,1023,92,1,0,Fog
0,2019-01-21 02:25:00,-6.34,-6,-7,-7.9399999999999995,-7.6,-8.6,1023,92,1,0,Fog
